id,cleaning_fee,price,bedrooms,beds,bathrooms,personCapacity,reviewsCount,isSuperhost,avgRating,lat,lng
18669058,5,10,1.0,1.0,1.0,2,82,False,4.71,4.6503,-74.06013
32308869,12,12,1.0,1.0,1.0,2,52,False,4.5,4.64668,-74.07234
35159913,5,12,1.0,1.0,1.0,2,8,False,5.0,4.58942,-74.07299
37721845,11,11,1.0,1.0,1.0,2,20,False,4.7,4.63778,-74.06339
35522458,8,12,1.0,1.0,1.0,2,18,False,4.94,4.64031,-74.06816
44322943,8,12,1.0,1.0,1.0,2,0,False,,4.62679,-74.07134
28760216,4,10,2.0,2.0,1.0,2,67,True,4.84,4.6764,-74.147
33320505,20,15,0.0,1.0,1.0,2,39,True,4.9,4.63874,-74.05705
44464802,8,15,1.0,1.0,1.0,2,0,False,,4.64104,-74.06949
32380143,5,11,1.0,1.0,1.0,2,10,False,4.3,4.67323,-74.0962
19812158,6,16,1.0,1.0,1.0,2,82,False,4.67,4.64835,-74.05965
38667193,8,11,1.0,1.0,1.0,2,30,False,4.63,4.62156,-74.13804
21098606,0,15,1.0,1.0,1.0,2,54,False,4.7,4.61706,-74.06363
29728746,9,12,3.0,3.0,2.0,4,55,False,4.55,4.71112,-74.13834
44448735,8,16,1.0,2.0,1.0,4,0,False,,4.62619,-74.07179
31541884,7,14,1.0,1.0,1.0,3,52,False,4.6,4.63865,-74.07224
22609579,5,14,1.0,1.0,1.0,2,87,True,4.99,4.6779,-74.10255
38507951,0,12,1.0,1.0,1.0,2,20,True,5.0,4.75842,-74.10159
40430532,13,12,1.0,0.0,1.0,3,10,True,4.6,4.64189,-74.06409
35544377,8,12,2.0,2.0,1.0,4,18,False,4.94,4.63994,-74.06837
30070406,0,16,1.0,1.0,1.0,4,125,False,4.62,4.64743,-74.06439
17944543,8,10,1.0,1.0,1.0,2,102,False,4.76,4.64993,-74.06246
44490332,8,15,1.0,1.0,1.0,2,0,False,,4.62583,-74.07032
35522458,8,12,1.0,1.0,1.0,2,18,False,4.94,4.64031,-74.06816
44477148,8,16,1.0,1.0,1.0,2,0,False,,4.64099,-74.07038
35250576,25,14,0.0,1.0,1.0,2,18,True,5.0,4.65084,-74.08599
43743345,13,12,0.0,,1.0,2,0,True,,4.64858,-74.07541
29678113,8,13,1.0,1.0,1.0,2,54,True,4.83,4.72778,-74.04234
43479480,12,16,1.0,2.0,1.0,3,7,False,5.0,4.69697,-74.09099
44047223,0,16,1.0,3.0,1.0,4,0,False,,4.72447,-74.03732
40430532,13,12,1.0,0.0,1.0,3,10,True,4.6,4.64189,-74.06409
34865220,8,11,1.0,1.0,1.0,4,8,False,4.63,4.62665,-74.13861
33320505,20,15,0.0,1.0,1.0,2,39,True,4.9,4.63874,-74.05705
42219429,8,16,1.0,1.0,1.0,2,3,True,5.0,4.71589,-74.0662
36075284,8,10,1.0,1.0,1.0,2,20,False,4.8,4.71688,-74.11938
40157351,12,13,1.0,2.0,1.0,3,11,False,4.5,4.63923,-74.07323
41914954,7,14,1.0,1.0,1.0,2,11,True,4.91,4.61774,-74.11623
30291119,0,14,2.0,2.0,1.0,3,6,False,4.17,4.75265,-74.09228
42758098,5,13,1.0,1.0,1.0,2,4,True,5.0,4.67802,-74.10456
41401152,8,16,1.0,2.0,1.0,3,5,False,4.8,4.67733,-74.08755
33782081,11,11,2.0,3.0,1.5,4,10,True,4.8,4.68236,-74.16427
41861596,7,16,2.0,2.0,1.0,3,17,False,4.82,4.66964,-74.12907
31292174,8,12,2.0,2.0,1.0,4,16,False,4.56,4.63905,-74.0683
44490214,8,15,1.0,1.0,1.0,2,0,False,,4.62747,-74.07143
44477495,8,15,1.0,1.0,1.0,2,0,False,,4.64119,-74.07158
43487927,10,16,1.0,2.0,1.0,3,5,False,5.0,4.69899,-74.09152
42196627,12,12,1.0,1.0,1.0,2,3,True,4.67,4.59708,-74.06862
43021116,7,15,1.0,1.0,1.0,2,1,False,,4.67084,-74.07218
23634117,5,13,1.0,3.0,1.0,5,96,False,4.47,4.63359,-74.09432
44047223,0,16,1.0,3.0,1.0,4,0,False,,4.72447,-74.03732
25263713,16,16,1.0,2.0,1.0,3,30,False,4.83,4.59916,-74.06742
40616176,5,15,1.0,1.0,1.0,2,17,True,4.82,4.67043,-74.11033
26279979,0,13,1.0,2.0,1.0,4,7,True,4.71,4.58346,-74.08341
35909475,25,14,0.0,1.0,1.0,2,9,True,4.78,4.65021,-74.08552
31716510,8,16,1.0,2.0,1.0,3,40,True,4.75,4.60301,-74.07222
16874262,20,12,1.0,1.0,1.0,2,38,True,4.82,4.59698,-74.06906
34480177,11,13,1.0,1.0,1.0,3,5,True,4.8,4.66815,-74.07508
37253566,9,10,1.0,1.0,1.0,4,11,False,3.64,4.62632,-74.13795
39623677,5,11,1.0,1.0,1.0,2,3,False,4.67,4.60256,-74.07544
41713422,15,10,1.0,1.0,1.0,1,3,True,4.67,4.65595,-74.06452
40208808,13,15,1.0,1.0,1.0,2,6,False,4.67,4.65633,-74.06387
33100045,20,15,1.0,4.0,1.0,3,28,True,4.71,4.63945,-74.05711
43390693,8,14,1.0,1.0,1.0,2,0,False,,4.61666,-74.07332
44477148,8,16,1.0,1.0,1.0,2,0,False,,4.64099,-74.07038
44489413,8,15,1.0,1.0,1.0,2,0,False,,4.62751,-74.07134
40973085,8,11,0.0,1.0,1.0,3,5,False,4.6,4.63755,-74.06993
43743550,12,15,1.0,2.0,1.0,3,2,False,,4.69726,-74.09166
35464688,5,12,1.0,2.0,1.0,4,14,True,5.0,4.63875,-74.13966
44195798,0,13,1.0,1.0,1.0,3,0,False,,4.67045,-74.06451
15746327,5,15,1.0,1.0,1.0,2,3,False,5.0,4.66916,-74.06861
38433275,12,15,0.0,3.0,2.0,5,6,True,4.83,4.64538,-74.14573
36567358,0,14,1.0,2.0,1.0,3,90,False,4.69,4.68509,-74.12668
37531072,11,15,1.0,2.0,1.0,4,9,False,4.33,4.59836,-74.09966
29374475,8,16,1.0,1.0,1.0,4,10,False,4.8,4.64193,-74.06895
23416007,10,16,1.0,1.0,1.0,2,28,True,4.71,4.69338,-74.0698
21440592,19,13,2.0,2.0,2.5,4,18,False,4.28,4.6942,-74.12248
37859122,20,10,1.0,1.0,1.0,2,9,True,4.89,4.59719,-74.06934
30340734,0,15,1.0,2.0,1.0,4,32,False,4.63,4.64642,-74.0638
41398943,5,11,1.0,2.0,1.0,3,11,False,4.27,4.58985,-74.13729
39666299,8,11,1.0,0.0,1.0,2,4,False,4.5,4.62496,-74.13731
44464802,8,15,1.0,1.0,1.0,2,0,False,,4.64104,-74.06949
43495240,8,11,0.0,1.0,1.0,2,0,False,,4.64215,-74.06995
40972640,8,11,2.0,2.0,1.0,3,2,False,,4.63865,-74.06824
44477148,8,16,1.0,1.0,1.0,2,0,False,,4.64099,-74.07038
39248469,0,10,2.0,3.0,1.0,6,1,False,,4.70183,-74.12467
30824714,8,15,2.0,2.0,1.0,4,17,False,4.5,4.63912,-74.06822
39666299,8,11,1.0,0.0,1.0,2,4,False,4.5,4.62496,-74.13731
29375215,8,16,1.0,1.0,1.0,4,14,False,4.57,4.64091,-74.06929
24407862,0,13,1.0,1.0,1.0,1,40,False,4.7,4.66945,-74.08524
36567358,0,14,1.0,2.0,1.0,3,90,False,4.69,4.68509,-74.12668
43135167,8,13,1.0,1.0,1.0,2,4,False,4.75,4.64205,-74.07103
25777584,15,15,1.0,1.0,1.0,2,23,True,4.87,4.6547,-74.06305
20926734,0,11,2.0,2.0,1.0,2,1,False,,4.60856,-74.0772
33100045,20,15,1.0,4.0,1.0,3,28,True,4.71,4.63945,-74.05711
38433275,12,15,0.0,3.0,2.0,5,6,True,4.83,4.64538,-74.14573
26279979,0,13,1.0,2.0,1.0,4,7,True,4.71,4.58346,-74.08341
43580983,0,10,1.0,1.0,1.0,1,0,False,,4.59851,-74.07327
15746327,5,15,1.0,1.0,1.0,2,3,False,5.0,4.66916,-74.06861
21321328,0,13,1.0,1.0,1.0,2,188,True,4.77,4.59225,-74.07209
44000960,0,13,1.0,1.0,1.0,2,1,False,,4.6275,-74.06717
29185085,0,15,1.0,1.0,1.0,1,22,True,4.86,4.6374,-74.0717
32936763,5,15,1.0,2.0,1.0,2,13,True,4.92,4.6672,-74.11941
33470663,5,16,1.0,2.0,1.0,4,37,False,4.65,4.62704,-74.08306
39150488,13,13,1.0,2.0,1.5,3,8,False,4.75,4.64927,-74.06603
18916189,12,16,2.0,2.0,3.0,3,35,False,4.62,4.73953,-74.04019
25777584,15,15,1.0,1.0,1.0,2,23,True,4.87,4.6547,-74.06305
44244049,0,9,1.0,1.0,1.0,2,0,False,,4.61044,-74.06889
22360322,5,10,1.0,1.0,1.5,2,2,False,,4.59174,-74.136
29375215,8,16,1.0,1.0,1.0,4,14,False,4.57,4.64091,-74.06929
